地区,年份,考生类别,批次,分数线
江苏,2016,文科,专科一批,210
安徽,2016,理科,本科一批,518
安徽,2016,理科,本科二批,473
安徽,2016,理科,本科三批,446
安徽,2016,理科,专科一批,290
安徽,2016,文科,本科一批,521
安徽,2016,文科,本科二批,482
安徽,2016,文科,本科三批,453
安徽,2016,文科,专科一批,290
江西,2016,理科,本科一批,529
江西,2016,理科,本科二批,445
江西,2016,理科,专科一批,200
江西,2016,文科,本科一批,523
江西,2016,文科,本科二批,450
江西,2016,文科,专科一批,200
湖北,2016,理科,本科一批,512
湖北,2016,理科,本科二批,350
湖北,2016,理科,专科一批,200
湖北,2016,文科,本科一批,520
湖北,2016,文科,本科二批,403
湖北,2016,文科,专科一批,200
湖南,2016,理科,本科一批,517
湖南,2016,理科,本科二批,439
湖南,2016,理科,本科三批,396
湖南,2016,理科,专科一批,200
湖南,2016,文科,本科一批,530
湖南,2016,文科,本科二批,476
湖南,2016,文科,本科三批,431
湖南,2016,文科,专科一批,200
重庆,2016,理科,本科一批,525
重庆,2016,理科,本科二批,416
重庆,2016,理科,专科一批,140
重庆,2016,文科,本科一批,527
重庆,2016,文科,本科二批,435
重庆,2016,文科,专科一批,140
四川,2016,理科,本科一批,532
四川,2016,理科,本科二批,453
四川,2016,理科,专科一批,390
四川,2016,理科,专科二批,180
四川,2016,文科,本科一批,540
四川,2016,文科,本科二批,480
四川,2016,文科,专科一批,445
四川,2016,文科,专科二批,190
贵州,2016,理科,本科一批,473
贵州,2016,理科,本科二批,365
贵州,2016,理科,专科一批,200
贵州,2016,文科,本科一批,551
贵州,2016,文科,本科二批,457
贵州,2016,文科,专科一批,200
云南,2016,理科,本科一批,525
云南,2016,理科,本科二批,445
云南,2016,理科,本科三批,400
云南,2016,理科,专科一批,300
云南,2016,文科,本科一批,560
云南,2016,文科,本科二批,495
云南,2016,文科,本科三批,445
云南,2016,文科,专科一批,300
广东,2016,理科,本科一批,508
广东,2016,理科,本科二批,402
广东,2016,理科,专科一批,330
广东,2016,理科,专科二批,245
广东,2016,文科,本科一批,514
广东,2016,文科,本科二批,417
广东,2016,文科,专科一批,360
广东,2016,文科,专科二批,245
广西,2016,理科,本科一批,502
广西,2016,理科,本科二批,333
广西,2016,理科,专科一批,180
广西,2016,文科,本科一批,545
广西,2016,文科,本科二批,400
广西,2016,文科,专科一批,180
福建,2016,理科,本科一批,465
福建,2016,理科,本科二批,352
福建,2016,理科,专科一批,251
福建,2016,文科,本科一批,501
福建,2016,文科,本科二批,403
福建,2016,文科,专科一批,319
甘肃,2016,理科,本科一批,490
甘肃,2016,理科,本科二批,435
甘肃,2016,理科,本科三批,367
甘肃,2016,理科,专科一批,200
甘肃,2016,文科,本科一批,504
甘肃,2016,文科,本科二批,455
甘肃,2016,文科,本科三批,391
甘肃,2016,文科,专科一批,200
宁夏,2016,理科,本科一批,465
宁夏,2016,理科,本科二批,434
宁夏,2016,理科,本科三批,354
宁夏,2016,文科,本科一批,516
宁夏,2016,文科,本科二批,486
宁夏,2016,文科,本科三批,406
新疆,2016,理科,本科一批,464
新疆,2016,理科,本科二批,394
新疆,2016,理科,本科三批,363
新疆,2016,理科,专科一批,200
新疆,2016,文科,本科一批,487
新疆,2016,文科,本科二批,415
新疆,2016,文科,本科三批,372
新疆,2016,文科,专科一批,200
西藏,2016,理科,本科一批,425
西藏,2016,理科,本科二批,315
西藏,2016,理科,专科一批,270
西藏,2016,文科,本科一批,440
西藏,2016,文科,本科二批,355
西藏,2016,文科,专科一批,312
海南,2016,理科,本科一批,602
海南,2016,理科,本科二批,543
海南,2016,理科,本科三批,478
海南,2016,理科,专科一批,280
海南,2016,文科,本科一批,653
海南,2016,文科,本科二批,577
海南,2016,文科,本科三批,472
海南,2016,文科,专科一批,280
浙江,2016,理科,本科一批,600
浙江,2016,理科,本科二批,439
浙江,2016,理科,本科三批,270
浙江,2016,文科,本科一批,603
浙江,2016,文科,本科二批,462
浙江,2016,文科,本科三批,267
青海,2016,理科,本科一批,416
青海,2016,理科,本科二批,380
青海,2016,理科,本科三批,353
青海,2016,理科,专科一批,200
青海,2016,文科,本科一批,457
青海,2016,文科,本科二批,415
青海,2016,文科,本科三批,379
青海,2016,文科,专科一批,200
