地区,年份,考生类别,批次,分数线
湖南,2017,文科,专科批,200
重庆,2017,理科,本科一批,492
重庆,2017,理科,本科二批,395
重庆,2017,理科,专科批,140
重庆,2017,文科,本科一批,525
重庆,2017,文科,本科二批,436
重庆,2017,文科,专科批,140
四川,2017,理科,本科一批,511
四川,2017,理科,本科二批,436
四川,2017,理科,专科批,190
四川,2017,文科,本科一批,537
四川,2017,文科,本科二批,470
四川,2017,文科,专科批,180
贵州,2017,理科,本科一批,456
贵州,2017,理科,本科二批,361
贵州,2017,理科,专科批,200
贵州,2017,文科,本科一批,545
贵州,2017,文科,本科二批,453
贵州,2017,文科,专科批,200
云南,2017,理科,本科一批,500
云南,2017,理科,本科二批,410
云南,2017,理科,专科批,300
云南,2017,文科,本科一批,555
云南,2017,文科,本科二批,465
云南,2017,文科,专科批,300
广东,2017,理科,本科一批,485
广东,2017,理科,本科二批,360
广东,2017,理科,专科批,200
广东,2017,文科,本科一批,520
广东,2017,文科,本科二批,418
广东,2017,文科,专科批,210
广东,2017,学考理,专科批,145
广东,2017,学考文,专科批,150
广西,2017,理科,本科一批,473
广西,2017,理科,本科二批,318
广西,2017,理科,专科批,180
广西,2017,文科,本科一批,535
广西,2017,文科,本科二批,387
广西,2017,文科,专科批,180
福建,2017,理科,本科一批,441
福建,2017,理科,本科二批,333
福建,2017,理科,专科批,236
福建,2017,文科,本科一批,489
福建,2017,文科,本科二批,380
福建,2017,文科,专科批,300
甘肃,2017,理科,本科一批,460
甘肃,2017,理科,本科二批,408
甘肃,2017,理科,本科三批,337
甘肃,2017,理科,专科批,180
甘肃,2017,文科,本科一批,505
甘肃,2017,文科,本科二批,458
甘肃,2017,文科,本科三批,383
甘肃,2017,文科,专科批,180
宁夏,2017,理科,本科一批,439
宁夏,2017,理科,本科二批,408
宁夏,2017,理科,本科三批,328
宁夏,2017,理科,专科批,200
宁夏,2017,文科,本科一批,519
宁夏,2017,文科,本科二批,487
宁夏,2017,文科,本科三批,407
宁夏,2017,文科,专科批,200
新疆,2017,理科,本科一批,437
新疆,2017,理科,本科二批,333
新疆,2017,理科,专科批,200
新疆,2017,文科,本科一批,486
新疆,2017,文科,本科二批,375
新疆,2017,文科,专科批,200
西藏,2017,理科,本科一批,426
西藏,2017,理科,本科二批,316
西藏,2017,理科,专科批,240
西藏,2017,文科,本科一批,441
西藏,2017,文科,本科二批,356
西藏,2017,文科,专科批,249
海南,2017,理科,本科批,539
海南,2017,理科,专科批,280
海南,2017,文科,本科批,578
海南,2017,文科,专科批,280
浙江,2017,综合,平行录取一段,577
浙江,2017,综合,平行录取二段,480
浙江,2017,综合,平行录取三段,359
青海,2017,理科,本科一批,391
青海,2017,理科,本科二批,356
青海,2017,理科,本科三批,328
青海,2017,理科,专科批,200
青海,2017,文科,本科一批,463
青海,2017,文科,本科二批,421
青海,2017,文科,本科三批,382
青海,2017,文科,专科批,200
