ID,Basket
294,"beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner"
295,"citrus fruit,packaged fruit/vegetables,yogurt,bottled water"
296,"UHT-milk,coffee"
298,newspapers
301,"frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins"
302,canned beer
304,"onions,soda,chewing gum,chocolate,newspapers"
305,"tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy"
306,"bottled water,white wine"
307,"beef,white bread,pastry,pasta,soap"
308,"sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner"
310,"chicken,whole milk,spices,long life bakery product,shopping bags"
311,"pork,citrus fruit,brown bread,pastry,sugar,cat food"
313,"meat,hard cheese,bottled beer"
316,"tropical fruit,soda,salty snack"
318,"sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes"
321,"rolls/buns,canned fish,canned beer"
323,chicken
324,"frankfurter,other vegetables,yogurt,brown bread,bottled water"
326,"margarine,hygiene articles"
329,"hamburger meat,white bread,salty snack"
331,"soda,specialty chocolate"
337,shopping bags
340,"sausage,citrus fruit,whole milk,canned beer"
342,"salt,salty snack,cookware"
344,"curd,beverages,cream cheese ,rolls/buns,pastry,soda,cake bar,chewing gum"
345,"other vegetables,butter,specialty chocolate"
349,"tropical fruit,whole milk,frozen meals,bottled beer"
350,"beef,hamburger meat,pip fruit"
351,"berries,whipped/sour cream,cereals,waffles,shopping bags"
352,canned beer
357,frozen vegetables
361,"citrus fruit,whole milk,curd,soft cheese"
362,"pastry,fruit/vegetable juice"
363,"frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread"
364,"tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs"
365,"frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins"
367,"rolls/buns,brown bread,pastry,coffee,bottled beer"
368,"root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee"
370,"other vegetables,bottled water"
371,"berries,white bread"
372,"berries,coffee"
376,"whole milk,frozen dessert,salty snack,napkins"
379,"butter milk,yogurt"
381,coffee
382,"bottled beer,liquor"
383,"onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags"
384,"hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags"
386,"hard cheese,pastry,napkins"
388,hamburger meat
389,"onions,whole milk,beverages,frozen dessert"
393,soda
394,sliced cheese
397,"domestic eggs,rolls/buns,dish cleaner,hygiene articles"
398,whole milk
399,"meat,other vegetables,whole milk,whipped/sour cream"
401,"other vegetables,red/blush wine"
402,"whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags"
404,"tropical fruit,other vegetables"
406,specialty bar
409,canned beer
410,bottled water
411,"other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer"
412,"citrus fruit,tropical fruit,onions,other vegetables,shopping bags"
414,"domestic eggs,rolls/buns,specialty bar,napkins"
415,"pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles"
416,"specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack"
417,"pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine"
418,"beef,berries,whipped/sour cream,domestic eggs,rolls/buns"
422,whole milk
424,bottled beer
425,"root vegetables,pastry,bottled water,male cosmetics"
428,"citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener"
430,"soda,misc. beverages"
432,"tropical fruit,other vegetables,rolls/buns"
433,salty snack
435,chocolate
436,"citrus fruit,UHT-milk,cream cheese ,frozen vegetables"
437,"bottled water,canned beer,male cosmetics"
439,"dessert,oil,cat food,soda"
442,"beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda"
443,soda
444,"coffee,hygiene articles"
449,"beef,root vegetables,other vegetables,rolls/buns,sugar"
450,"whole milk,butter,bottled water,bottled beer"
453,"sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products "
456,"herbs,bottled water"
457,"yogurt,rolls/buns"
458,Instant food products
461,"bottled beer,liquor"
462,"beef,root vegetables"
463,"whole milk,honey,waffles"
466,"other vegetables,whole milk,cream cheese "
470,"other vegetables,salty snack"
474,"other vegetables,whipped/sour cream,specialty cheese,domestic eggs"
475,"hamburger meat,whole milk,curd,pasta,canned beer"
477,shopping bags
478,"whole milk,cream cheese ,soda,fruit/vegetable juice"
479,ice cream
480,"pastry,bottled water"
482,"frankfurter,soda"
484,bottled beer
485,"bottled water,bottled beer,napkins"
486,"meat,other vegetables,hard cheese,frozen meals,bottled water,soda"
487,"dessert,candy"
489,"beverages,rolls/buns,soda"
490,"ham,mustard,canned fish"
491,specialty bar
492,"brown bread,soda,salty snack,shopping bags"
496,"pet care,bottled beer"
500,"white wine,detergent"
501,"whole milk,dessert,bottled water"
507,"whole milk,curd"
510,"brown bread,sugar,hygiene articles"
512,domestic eggs
513,"coffee,detergent,hygiene articles,photo/film"
514,soda
516,bottled beer
517,"pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers"
518,"other vegetables,yogurt"
519,"yogurt,bottled water,dishes"
520,sparkling wine
521,"bottled water,candy"
522,"citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles"
524,"packaged fruit/vegetables,seasonal products"
525,"other vegetables,margarine"
526,soda
527,"whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack"
529,"citrus fruit,spread cheese,rolls/buns,soda"
530,misc. beverages
534,"soda,female sanitary products"
535,"white bread,bottled water,soda,waffles"
543,other vegetables
545,"sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda"
550,"onions,fruit/vegetable juice"
551,specialty chocolate
552,"hamburger meat,domestic eggs"
553,photo/film
556,canned beer
557,"other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles"
558,canned beer
560,"butter,fruit/vegetable juice,newspapers"
562,whole milk
563,"beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese"
564,"sausage,rolls/buns"
565,soda
566,"fruit/vegetable juice,long life bakery product"
568,"pip fruit,whole milk,bottled water,candy"
572,"root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine"
576,newspapers
577,rolls/buns
578,"hamburger meat,UHT-milk,salty snack"
584,"cling film/bags,pot plants"
585,"frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer"
587,"pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs,cereals,baking powder,fruit/vegetable juice,soap"
591,"whipped/sour cream,pastry,specialty bar"
592,"root vegetables,brown bread"
594,"other vegetables,bottled beer,red/blush wine"
595,"citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol,hygiene articles,napkins"
602,canned beer
606,"pip fruit,butter,frozen meals,pasta,bottled water"
609,frozen chicken
610,soda
611,"tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products"
612,other vegetables
616,"bottled water,soda,red/blush wine,long life bakery product,newspapers"
618,"pastry,canned beer"
624,"citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables,misc. beverages"
625,"meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil,coffee,pot plants"
626,"beverages,pastry,bottled water"
629,"hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer,hygiene articles,newspapers"
631,"beef,citrus fruit,whole milk,domestic eggs,rolls/buns,pastry,roll products ,tea,fruit/vegetable juice"
634,"yogurt,bottled water"
636,"frankfurter,root vegetables,newspapers"
638,shopping bags
641,"other vegetables,rolls/buns,meat spreads,bottled water,soda,misc. beverages,waffles,chocolate,candy"
643,"hamburger meat,citrus fruit,root vegetables,rolls/buns,Instant food products,canned fish,bottled water,soda,fruit/vegetable juice,napkins"
646,"tropical fruit,domestic eggs,rolls/buns,pastry"
647,soda
650,"coffee,soda"
654,"meat,other vegetables"
656,newspapers
657,"rolls/buns,pastry,newspapers"
659,"whole milk,rolls/buns,detergent"
660,"frankfurter,citrus fruit,butter milk,UHT-milk,rolls/buns,female sanitary products,shopping bags"
661,"ham,other vegetables,butter,whipped/sour cream,sugar,soda"
666,"rolls/buns,bottled beer,newspapers"
667,"whole milk,hard cheese,chocolate marshmallow"
668,"sausage,root vegetables,other vegetables,rolls/buns,soda"
669,"curd,butter milk,yogurt,beverages"
670,bottled water
671,beef
674,"sausage,meat,tropical fruit,pip fruit,pastry,sugar,coffee,candles,pot plants"
675,"pork,whole milk,whipped/sour cream,beverages"
676,"yogurt,pastry,coffee"
677,"whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags"
679,"beef,whole milk,brown bread,specialty chocolate,newspapers"
682,"pastry,coffee"
683,"chicken,beef,specialty chocolate"
684,"root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate"
688,house keeping products
693,"beef,berries,onions,rolls/buns"
695,"pork,UHT-milk,bottled water,soda,canned beer"
696,"other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles"
698,"frankfurter,pip fruit,whole milk,rolls/buns,roll products "
703,"rolls/buns,soda,snack products,shopping bags"
704,"whole milk,pastry,bottled water,hygiene articles"
710,"frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags"
711,"UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier,newspapers"
719,rolls/buns
720,"rolls/buns,shopping bags"
721,bottled beer
722,"citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water"
723,"bottled water,soda"
724,pastry
729,"packaged fruit/vegetables,canned beer,candles"
731,"meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns"
732,"onions,whole milk,bottled beer,liquor (appetizer),detergent,dishes"
734,"beef,rolls/buns,bottled beer"
735,beef
736,"sausage,bottled beer,liquor (appetizer)"
739,"sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products"
741,"frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds)"
744,"tropical fruit,pastry,flour,rum"
747,bottled beer
748,"grapes,soda"
749,"beverages,rolls/buns"
750,"curd,bottled beer,pot plants"
753,other vegetables
756,canned beer
757,coffee
758,"berries,other vegetables,whole milk,whipped/sour cream"
759,"pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers"
760,"frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese ,frozen dessert,domestic eggs,rolls/buns,sugar,baking powder"
763,"frozen dessert,brandy"
764,"chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice"
765,"vinegar,oil"
766,"rolls/buns,soda,specialty bar"
767,whole milk
771,"frankfurter,citrus fruit,whipped/sour cream,cream cheese ,rolls/buns,baking powder,seasonal products,napkins"
772,"finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer"
774,"tropical fruit,whole milk,rolls/buns"
778,curd
780,"canned beer,liquor (appetizer),chewing gum"
781,"ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables,rolls/buns,margarine,soda,liquor (appetizer),cake bar,candy,seasonal products,skin care"
782,"packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product"
784,"whole milk,dessert"
786,"chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products"
789,"root vegetables,other vegetables,soda,shopping bags"
790,pastry
791,"frankfurter,hamburger meat,whole milk,domestic eggs,rolls/buns,brown bread,margarine,bottled water,flower (seeds)"
794,"citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda,misc. beverages,candy,female sanitary products,shopping bags"
796,"root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta,soups,baking powder,soda,detergent"
797,"root vegetables,whole milk,yogurt,rolls/buns"
800,"root vegetables,whole milk,butter,coffee"
802,hamburger meat
805,"frankfurter,sausage,frozen fish,margarine,specialty bar"
811,"whole milk,chewing gum"
813,"pork,grapes,UHT-milk,brown bread,margarine"
814,"root vegetables,pot plants"
816,"citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer"
820,"beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta,coffee,candles"
821,"chicken,pork,whole milk,butter,white bread"
829,"frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables"
832,"citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food,canned beer"
833,"sausage,domestic eggs"
841,"frankfurter,soda"
843,"citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee,soda,sparkling wine,dishes"
844,"beef,citrus fruit,root vegetables,onions,curd,hard cheese,rolls/buns,fruit/vegetable juice"
845,"whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins"
846,"other vegetables,whipped/sour cream"
849,"other vegetables,whole milk,curd,frozen vegetables,domestic eggs,sugar,instant coffee,newspapers"
850,"tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,specialty chocolate,napkins"
852,"sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water,hygiene articles,newspapers"
853,"meat,root vegetables,whipped/sour cream,beverages,cream cheese ,waffles,dishes"
856,"frozen meals,misc. beverages"
857,whipped/sour cream
858,"beef,root vegetables,bottled beer,chocolate,shopping bags"
861,"beef,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,hard cheese,rolls/buns,brown bread,bottled water,bottled beer,salty snack,shopping bags"
862,"packaged fruit/vegetables,pickled vegetables"
864,"frankfurter,sausage,beef,root vegetables,packaged fruit/vegetables,whole milk,dessert,yogurt,sliced cheese,ice cream,rolls/buns,soda"
867,"sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner"
868,"whole milk,UHT-milk,domestic eggs,soda,fruit/vegetable juice,dishes,newspapers"
869,"ice cream,rolls/buns"
873,"sausage,ham,citrus fruit,tropical fruit,berries,packaged fruit/vegetables,whole milk,whipped/sour cream,sliced cheese,pastry,sugar,baking powder"
874,"beef,root vegetables,whole milk,cream cheese "
877,"berries,whipped/sour cream"
880,"bottled beer,shopping bags"
881,"curd,butter milk,yogurt,sliced cheese,coffee"
882,"beef,Instant food products,canned beer"
885,"grapes,whole milk,processed cheese,rolls/buns,white bread,fruit/vegetable juice"
887,"root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes"
888,"chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers"
891,canned beer
893,"chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers"
894,"other vegetables,misc. beverages"
896,"whole milk,cake bar,newspapers"
898,"sausage,grapes,rolls/buns,soda,salty snack"
901,"citrus fruit,tropical fruit,pip fruit,other vegetables"
903,"pastry,soda,bottled beer"
905,"sliced cheese,pastry,newspapers"
906,soda
909,"whole milk,curd,cream cheese ,flour,coffee,bottled water,misc. beverages,newspapers"
910,"root vegetables,whipped/sour cream"
911,"soda,canned beer,shopping bags"
912,"curd,roll products ,margarine,bottled water,canned beer,white wine,dish cleaner"
921,"root vegetables,whole milk,butter,yogurt,cream cheese ,frozen fish,shopping bags"
923,"frankfurter,turkey,root vegetables,other vegetables,yogurt,rolls/buns,pastry,ready soups"
925,"soda,bottled beer"
926,"frankfurter,popcorn"
927,"berries,whole milk,whipped/sour cream,pickled vegetables,detergent,newspapers"
928,canned beer
930,"frankfurter,hamburger meat,whole milk,butter,curd,flour,rice,oil,sugar,mustard,salty snack,chocolate,chocolate marshmallow,dish cleaner,dental care"
933,newspapers
936,"beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,pot plants"
937,"rolls/buns,coffee,instant coffee,salty snack,specialty chocolate"
942,"whole milk,pastry,detergent,candles"
943,photo/film
948,"tropical fruit,grapes,berries,other vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream,ice cream,pastry,salt,baking powder,bottled water,misc. beverages,fruit/vegetable juice,canned beer,specialty chocolate,pot plants"
954,hygiene articles
956,"curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers"
958,"onions,whole milk,dessert,domestic eggs,rolls/buns,white bread,coffee,bottled water"
960,"salt,dog food,long life bakery product"
961,"tropical fruit,root vegetables,other vegetables,domestic eggs,white bread,brown bread,canned vegetables,soda,fruit/vegetable juice,rum"
962,"other vegetables,whole milk,yogurt"
964,ice cream
965,"tropical fruit,oil,cat food"
966,"frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice"
969,"tropical fruit,pastry,canned beer,chocolate"
970,"citrus fruit,root vegetables,packaged fruit/vegetables,yogurt,sliced cheese,rolls/buns,white bread,brown bread,zwieback"
976,"bottled beer,liquor,red/blush wine"
978,"pork,other vegetables,soda"
980,"frankfurter,chicken,pork,tropical fruit,root vegetables,other vegetables,yogurt,UHT-milk,mayonnaise,brown bread,pastry,flour,mustard,coffee,cocoa drinks,fruit/vegetable juice,salty snack,long life bakery product,chocolate,seasonal products"
983,"pip fruit,root vegetables,dessert,yogurt,domestic eggs,shopping bags"
984,"frankfurter,whole milk,coffee,detergent"
985,"whole milk,newspapers"
986,"domestic eggs,hygiene articles,photo/film,flower soil/fertilizer"
987,"packaged fruit/vegetables,dessert,mayonnaise,oil,soda,waffles,chocolate,flower (seeds),shopping bags"
990,"citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,pastry,vinegar,oil,coffee,long life bakery product,detergent,cleaner,napkins,newspapers"
991,light bulbs
994,"citrus fruit,onions"
1001,"tropical fruit,pip fruit,grapes,root vegetables,herbs,yogurt,baking powder,seasonal products,pot plants,shopping bags"
1003,"berries,root vegetables,other vegetables,butter,hard cheese,domestic eggs,rolls/buns,fruit/vegetable juice,sparkling wine,hygiene articles"
1004,"berries,dessert,whipped/sour cream,white bread,coffee,shopping bags"
1005,"rolls/buns,long life bakery product"
1007,"coffee,fruit/vegetable juice,dishes"
1009,whole milk
1010,"citrus fruit,berries,butter milk,yogurt"
1011,"beef,grapes,nuts/prunes,root vegetables,onions,other vegetables,cream,soft cheese,sliced cheese,hard cheese,domestic eggs,rolls/buns,pastry,mustard,specialty chocolate,specialty bar,dental care,shopping bags"
1019,"whole milk,rice"
1021,"frankfurter,chicken,butter milk,margarine,long life bakery product"
1022,"whole milk,white bread"
1025,brown bread
1027,"UHT-milk,bottled water"
1028,onions
1029,"beef,bottled water,misc. beverages,specialty chocolate,shopping bags"
1031,"canned beer,specialty chocolate,candy,shopping bags"
1034,"pip fruit,curd,dessert,yogurt,specialty chocolate,specialty bar,newspapers,shopping bags"
1038,"bottled beer,liquor"
1041,"pork,herbs,other vegetables,yogurt,domestic eggs,specialty bar,dishes"
1045,"sausage,tropical fruit,grapes,other vegetables,processed cheese,frozen meals,domestic eggs,white bread,salty snack,newspapers"
1049,"tropical fruit,whole milk,white bread,brown bread,misc. beverages,bottled beer"
1050,"grapes,yogurt,UHT-milk,soft cheese,rolls/buns,fruit/vegetable juice,candy,dental care,newspapers,shopping bags"
1051,"whole milk,pastry"
1053,"dessert,bottled water,soda"
1054,shopping bags
1055,"butter,rolls/buns,salt"
1056,"frankfurter,ham,chicken,whole milk,butter,processed cheese,frozen vegetables,white bread,pastry,soda,fruit/vegetable juice,red/blush wine,chocolate,pot plants"
1059,brown bread
1062,"whole milk,frozen vegetables"
1064,whipped/sour cream
