,basket
6617,"sausage,pork,root vegetables,other vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,zwieback,sugar,coffee"
1586,"frozen vegetables,coffee"
6389,"sausage,bottled water"
9594,"beef,grapes,herbs,other vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,ice cream,oil,coffee,fruit/vegetable juice,chewing gum,specialty chocolate,cleaner,kitchen towels"
3187,canned beer
4217,canned beer
934,"frozen fish,newspapers"
1343,"whole milk,yogurt,chocolate"
8949,"sausage,tropical fruit,grapes,berries,other vegetables,pastry,soda,specialty chocolate,napkins,shopping bags"
5580,"domestic eggs,specialty chocolate"
5911,"citrus fruit,other vegetables,UHT-milk,rolls/buns,flour"
2211,"other vegetables,beverages,domestic eggs,brown bread,pastry,soda,newspapers"
3014,canned beer
2348,"pip fruit,root vegetables,other vegetables,whole milk,yogurt"
4055,"chicken,packaged fruit/vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,frozen dessert,rolls/buns,white bread,brown bread,margarine,soda,long life bakery product,specialty chocolate,candy"
8878,newspapers
3678,"grapes,root vegetables,other vegetables,whipped/sour cream,cat food,chewing gum,decalcifier,bathroom cleaner,napkins,dishes,kitchen towels"
7409,"sausage,UHT-milk,pickled vegetables,bottled water,canned beer"
1619,"dessert,UHT-milk,rolls/buns,pastry,canned beer"
7018,"whipped/sour cream,napkins"
380,newspapers
2384,"pip fruit,yogurt"
1001,"tropical fruit,pip fruit,grapes,root vegetables,herbs,yogurt,baking powder,seasonal products,pot plants,shopping bags"
9552,"pork,curd,dessert,whipped/sour cream,flour,bottled water"
2256,whole milk
1891,"whole milk,yogurt,sliced cheese,mayonnaise,rolls/buns,pasta,specialty chocolate"
2613,"hamburger meat,hard cheese,frozen vegetables,soda"
1636,oil
7351,"sliced cheese,domestic eggs,coffee,shopping bags"
2877,"ice cream,canned fruit,canned beer,shopping bags"
3206,"meat,other vegetables,whole milk,whipped/sour cream,rolls/buns,margarine,soda,shopping bags"
9440,"curd,soda"
9602,rolls/buns
1845,"root vegetables,other vegetables,whole milk,curd,cream cheese ,domestic eggs,misc. beverages,napkins"
1523,"onions,yogurt,oil"
5714,"chicken,yogurt,whipped/sour cream,frozen dessert,soda,pot plants"
2275,"yogurt,organic products,shopping bags"
8828,"meat,pork,other vegetables,whole milk,sliced cheese,pastry,sugar,Instant food products,kitchen towels"
7783,"pip fruit,bottled water,candy"
9561,canned beer
4823,"instant coffee,photo/film"
5092,"pork,root vegetables"
9166,"root vegetables,onions,rolls/buns,white bread,sugar"
6434,newspapers
2319,"other vegetables,yogurt,whipped/sour cream,newspapers"
3555,"pork,pip fruit,onions,other vegetables,whole milk,dessert,yogurt,whisky"
4985,"frozen fruits,soda,specialty bar"
554,"rolls/buns,soda,snack products,newspapers"
300,"sausage,rolls/buns"
8496,"root vegetables,whole milk,whipped/sour cream,domestic eggs,soda,fruit/vegetable juice"
6075,"dessert,spread cheese,pastry,soda,seasonal products"
3294,"sausage,whole milk,yogurt,sliced cheese,rolls/buns,coffee,soda,canned beer,specialty bar"
5283,"meat,whole milk,yogurt"
4106,"meat,tropical fruit,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,frozen meals,rolls/buns,hygiene articles"
2067,"whole milk,specialty bar"
3244,"sausage,hamburger meat,berries,UHT-milk,cat food,soda,salty snack,napkins"
2956,"frankfurter,tropical fruit,root vegetables,whole milk,curd,dessert,frozen vegetables,pastry,instant coffee,tea,newspapers"
3713,"beverages,long life bakery product"
5680,canned beer
684,"root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate"
4806,"rolls/buns,red/blush wine"
3629,"other vegetables,frozen vegetables,frozen fish,rolls/buns,pickled vegetables"
2070,"whole milk,specialty fat,soda"
1271,"chicken,hamburger meat,other vegetables,rolls/buns,shopping bags"
4108,"frankfurter,root vegetables,butter,bottled beer,nut snack"
2113,"frankfurter,onions,candy,detergent"
5102,"whole milk,newspapers"
4552,"salty snack,dental care"
9641,"sausage,chicken,pip fruit,spread cheese,rolls/buns,sugar"
5712,"citrus fruit,root vegetables,margarine,misc. beverages,long life bakery product,waffles"
5294,"sausage,tropical fruit,root vegetables,other vegetables,hard cheese,fruit/vegetable juice,long life bakery product,waffles"
4325,"brown bread,soda,fruit/vegetable juice,bottled beer"
4229,"hamburger meat,citrus fruit,other vegetables,whole milk,butter,rolls/buns,baking powder,cooking chocolate,specialty chocolate,male cosmetics"
3601,"frankfurter,dessert"
5374,"whole milk,bottled beer,liquor (appetizer),hygiene articles"
8268,rolls/buns
5717,"other vegetables,whole milk,yogurt"
9636,"other vegetables,packaged fruit/vegetables,yogurt,whipped/sour cream,beverages"
1804,white wine
7904,"hamburger meat,root vegetables,whole milk,whipped/sour cream,flour,chocolate marshmallow,newspapers"
1892,"frankfurter,pork,citrus fruit,pip fruit,other vegetables,whipped/sour cream,UHT-milk,salad dressing,frozen potato products,salty snack,newspapers"
9654,"whole milk,pastry"
564,"sausage,rolls/buns"
9244,"chicken,root vegetables,other vegetables,whole milk,butter,yogurt,specialty cheese,domestic eggs,pastry,rice,canned fish,misc. beverages,detergent,house keeping products"
3059,"frankfurter,sausage,tropical fruit,oil,spices,pickled vegetables,bottled water,misc. beverages"
2061,"pork,frozen potato products,soda"
7715,"turkey,frozen potato products,soda"
8808,"citrus fruit,other vegetables,domestic eggs,shopping bags"
7858,"frankfurter,sausage,beef,citrus fruit,pip fruit,berries,other vegetables,whole milk,hard cheese,frozen vegetables,pastry,oil,baking powder,dog food,fruit/vegetable juice,bottled beer,specialty chocolate,seasonal products,detergent,soap"
3914,"ham,chicken,turkey,beef,onions,whole milk,butter,frozen potato products,domestic eggs,pastry,salt,sugar,jam,coffee"
4643,"butter,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,fruit/vegetable juice,newspapers"
2283,"ice cream,chocolate marshmallow"
9570,"rolls/buns,brown bread"
6495,"other vegetables,dessert,canned beer,chewing gum,flower (seeds)"
6779,"root vegetables,whole milk,hard cheese,domestic eggs,zwieback,rice,mustard,organic products,pickled vegetables,cat food,coffee,fruit/vegetable juice,cleaner,napkins,shopping bags"
5109,"bottled beer,liquor"
4285,"frozen meals,specialty bar"
5496,"root vegetables,rolls/buns"
5050,"sausage,whole milk"
398,whole milk
831,"turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate"
8401,"hamburger meat,other vegetables"
1919,"hamburger meat,whole milk,curd,dessert"
7051,"tropical fruit,root vegetables,whole milk,condensed milk,rolls/buns,bottled beer,waffles"
945,"other vegetables,whole milk,white bread,chewing gum"
4426,"tropical fruit,whole milk,curd,yogurt,rolls/buns,specialty bar"
3259,"frankfurter,other vegetables,whole milk,spread cheese,sugar,soda,bottled beer,house keeping products"
4156,"frankfurter,sausage,pork,onions,other vegetables,rolls/buns,semi-finished bread,newspapers,shopping bags"
7235,"pork,root vegetables,other vegetables,beverages,rolls/buns,pastry,sauces,bottled water,soda,red/blush wine,sparkling wine,chocolate,specialty chocolate,candy,napkins,newspapers"
3742,tropical fruit
5885,"other vegetables,condensed milk,coffee,detergent"
7048,"UHT-milk,bottled water"
779,"sausage,beef,other vegetables"
5746,newspapers
4585,"whole milk,dessert,pastry,Instant food products,canned fish,soda,bottled beer,red/blush wine,napkins,candles"
1216,"frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese ,mayonnaise,domestic eggs,rolls/buns,roll products ,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles"
9015,"rolls/buns,sugar"
9314,whole milk
2342,"pork,beverages,flour,margarine,bottled beer"
6753,"pork,beef,root vegetables,other vegetables,whole milk,domestic eggs,rice,sugar,fruit/vegetable juice,bottled beer,abrasive cleaner,soap,newspapers"
6895,"pip fruit,margarine,soda,long life bakery product,waffles,specialty chocolate,detergent,dish cleaner,hygiene articles,house keeping products,flower soil/fertilizer"
4513,"other vegetables,yogurt,whipped/sour cream,newspapers"
669,"curd,butter milk,yogurt,beverages"
9831,cooking chocolate
8430,"grapes,liquor (appetizer),waffles"
8872,"frozen dessert,semi-finished bread"
3801,"UHT-milk,brown bread"
3407,shopping bags
7416,fruit/vegetable juice
3624,"other vegetables,frozen vegetables,domestic eggs,rolls/buns,canned vegetables,soda,hygiene articles,flower (seeds),shopping bags"
4516,"fish,tropical fruit,pip fruit,berries,whole milk,curd,yogurt,whipped/sour cream,condensed milk,instant coffee,long life bakery product,cake bar,napkins"
2074,"brown bread,margarine,long life bakery product,flower (seeds)"
5237,whipped/sour cream
7426,"frankfurter,sausage,citrus fruit,frozen vegetables,frozen meals,vinegar,oil,coffee,waffles,cooking chocolate,hygiene articles"
499,"other vegetables,shopping bags"
8427,"soda,specialty chocolate"
3567,"whole milk,zwieback,salty snack"
8882,"beef,hamburger meat,berries,root vegetables,onions,other vegetables,dessert,yogurt,frozen meals,rolls/buns,sugar,cat food,soda,fruit/vegetable juice,salty snack,popcorn,cake bar"
7509,"sausage,finished products,pork,berries,root vegetables,packaged fruit/vegetables,whole milk,curd,frozen vegetables,brown bread,sugar,soda,fruit/vegetable juice,chocolate,specialty chocolate,specialty bar,hygiene articles,napkins"
5748,"rolls/buns,canned beer"
6577,"sausage,onions,yogurt,detergent"
9093,"meat,citrus fruit,hard cheese,soda"
4283,frankfurter
3855,"whole milk,dessert,oil"
4913,"margarine,fruit/vegetable juice,red/blush wine"
9448,"soda,liquor,shopping bags"
6352,"berries,other vegetables"
232,"whole milk,mustard,bottled water"
424,bottled beer
9547,pork
1320,"red/blush wine,specialty chocolate"
113,"berries,whipped/sour cream"
4944,"sausage,other vegetables,dessert,yogurt,condensed milk,hard cheese,spread cheese,bottled water,fruit/vegetable juice,shopping bags"
6899,"berries,yogurt,whipped/sour cream"
7026,"chewing gum,hygiene articles"
2712,"sausage,turkey,beef,citrus fruit,herbs,flour,margarine,Instant food products,bottled water"
4174,"sausage,whole milk,butter,domestic eggs,white bread,margarine,candy,softener,flower (seeds),shopping bags"
5136,"berries,oil,bottled water,cake bar,house keeping products,shopping bags"
850,"tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,specialty chocolate,napkins"
9802,"tropical fruit,whole milk,curd,yogurt,sliced cheese,mayonnaise,frozen meals,pastry,soda"
329,"hamburger meat,white bread,salty snack"
5071,"whole milk,brown bread"
2575,canned beer
1657,"tropical fruit,other vegetables,yogurt,spread cheese,soda"
7997,"tropical fruit,pastry,soda,chocolate"
2853,specialty chocolate
6796,"sausage,rolls/buns,soda"
3033,specialty bar
8627,"pork,whole milk,cream cheese ,frozen fish,brown bread,sauces"
7717,"finished products,grapes,other vegetables,curd,beverages,rolls/buns,pastry,waffles,specialty bar"
6943,"dessert,bottled water,fruit/vegetable juice"
7615,"baking powder,coffee,canned beer"
4528,"meat,root vegetables,other vegetables,fruit/vegetable juice,white wine"
5982,"sausage,whole milk"
4362,"frankfurter,beef,grapes,other vegetables,bottled beer,red/blush wine,napkins,newspapers"
8337,"sausage,hard cheese,shopping bags"
1836,"citrus fruit,root vegetables,other vegetables,salt,bottled water,chewing gum"
2420,rolls/buns
3007,"citrus fruit,tropical fruit,dessert,condensed milk,margarine"
2966,"UHT-milk,bottled water,soda"
8961,"bottled water,bottled beer"
6770,berries
3306,"domestic eggs,misc. beverages"
6309,"sausage,hamburger meat,tropical fruit,whole milk,sliced cheese,rolls/buns,oil,Instant food products,soda"
2046,whole milk
7292,"dessert,UHT-milk,newspapers,shopping bags"
888,"chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers"
4857,beef
7557,"tropical fruit,other vegetables,whole milk,pastry,rice,flower (seeds)"
2762,"other vegetables,whole milk,whipped/sour cream,condensed milk,rolls/buns,shopping bags"
7650,"chicken,frozen vegetables,soda,canned beer,hygiene articles"
4043,"margarine,soda"
3575,"pork,tropical fruit,onions,herbs,whole milk,butter,frozen vegetables,rolls/buns,jam,bottled water,liquor (appetizer)"
2646,"whole milk,frozen vegetables,rolls/buns,pastry,kitchen towels,newspapers"
7583,mayonnaise
7565,"chicken,other vegetables,chewing gum,shopping bags"
6503,"packaged fruit/vegetables,soda,napkins"
511,"tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags"
3420,"yogurt,brown bread,margarine,napkins"
5177,"frankfurter,whole milk,white bread,brown bread"
229,canned beer
5865,whole milk
8065,other vegetables
1361,"butter,yogurt,dog food"
7076,"citrus fruit,whole milk,butter,yogurt,frozen vegetables,rolls/buns,baking powder,instant coffee,napkins,dishes,newspapers"
8922,soda
